a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name,cx,cy,cz
7.3,5.8,25.0,0.0,5.0,-27.67332528717816,-3.687042309204117,-5.0748101671924815,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.9,25.0,0.0,5.0,-27.91383857477922,-3.693940526631195,-5.131489380379207,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.0,25.0,0.0,5.0,-27.84768019570037,-3.5927965823211707,-5.165521757764509,1,Done,naphthalene_A1=0_A2=5_a=7.3_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.8,25.0,0.0,5.0,-27.73184184951242,-3.6870423092041165,-5.089439307776047,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.9,25.0,0.0,5.0,-27.87227231252473,-3.693940526631195,-5.1210978148155855,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.0,25.0,0.0,5.0,-27.71922136854846,-3.5927965823211707,-5.133407050976532,1,Done,naphthalene_A1=0_A2=5_a=7.4_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.0,26.5,0.0,-5.0,-27.728527342318557,-3.5851930436911066,-5.139535313734086,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.8,25.0,0.0,-5.0,-27.40283584676217,-3.6870423092041165,-5.007187807088485,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.9,25.0,0.0,-5.0,-27.76283205859363,-3.693940526631195,-5.093737751332808,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,6.0,25.0,0.0,-5.0,-27.80189957621041,-3.5927965823211707,-5.154076602892019,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.8,25.0,0.0,-5.0,-27.67332528717816,-3.687042309204117,-5.0748101671924815,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.9,25.0,0.0,-5.0,-27.91383857477922,-3.693940526631195,-5.131489380379207,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,6.0,25.0,0.0,-5.0,-27.84768019570037,-3.5927965823211707,-5.165521757764509,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.8,25.0,0.0,-5.0,-27.73184184951242,-3.6870423092041165,-5.089439307776047,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,5.9,25.0,0.0,-5.0,-27.87227231252473,-3.693940526631195,-5.1210978148155855,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.4,6.0,25.0,0.0,-5.0,-27.71922136854846,-3.5927965823211707,-5.133407050976532,2,Done,naphthalene_A1=0_A2=-5_a=7.4_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.3,5.8,25.5,0.0,-10.0,-26.97143150656484,-3.884054721274879,-4.800830516003772,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
