a,b,theta,E,E_p,E_t,machine_type,status,file_name
3.7,13.1,5.0,-34.090974224265665,-8.191667397506535,-4.426909857313149,1,Done,tetracene_theta=5.0_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,5.0,-36.68488972052001,-0.6284462449839339,-8.856999307638034,2,Done,tetracene_theta=5.0_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.0,10.0,-38.152879083994776,-0.6914143633330241,-9.192512589332182,2,Done,tetracene_theta=10.0_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,0.0,-36.28749767737464,-0.6748066835571079,-8.734471077565104,1,Done,tetracene_theta=0.0_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,10.0,-27.26558058406227,-5.186929888906889,-4.2229302015621215,2,Done,tetracene_theta=10.0_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,0.0,-33.70097173913382,-7.950915655703285,-4.449785106931813,1,Done,tetracene_theta=0.0_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,5.0,-33.54973931889981,-8.191667397506535,-4.291601130971685,1,Done,tetracene_theta=5.0_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.1,5.0,-36.265710529871285,-0.7790172692621127,-8.676918997836765,2,Done,tetracene_theta=5.0_a=6.3_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.0,10.0,-38.08652868727222,-0.6265612049028277,-9.208351569366641,2,Done,tetracene_theta=10.0_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,10.0,-26.874004303477697,-5.186929888906889,-4.125036131415982,2,Done,tetracene_theta=10.0_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,0.0,-36.15879035717808,-0.6078149712411687,-8.735790103673935,1,Done,tetracene_theta=0.0_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,5.0,-33.879350241972126,-7.759097144124098,-4.590288988430983,1,Done,tetracene_theta=5.0_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,0.0,-33.17321574850939,-7.950915655703285,-4.317846109275706,1,Done,tetracene_theta=0.0_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,5.0,-36.69810759066604,-0.6972075356170535,-8.825923129857982,2,Done,tetracene_theta=5.0_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,6.9,10.0,-37.8974323135335,-0.7660830332897604,-9.091316561738497,2,Done,tetracene_theta=10.0_a=6.4_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.0,10.0,-32.324646525783464,-7.388019105535933,-4.3871520786779,2,Done,tetracene_theta=10.0_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.2,0.0,-36.01707349787465,-0.754908335278742,-8.626814206829295,1,Done,tetracene_theta=0.0_a=6.3_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,5.0,-36.77720648166724,-0.6284462449839339,-8.880078497924842,2,Done,tetracene_theta=5.0_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,10.0,-38.27868228871375,-0.6914143633330241,-9.223963390511924,2,Done,tetracene_theta=10.0_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,5.0,-35.04428239632398,-8.191667397506535,-4.665236900327726,1,Done,tetracene_theta=5.0_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,0.0,-33.378582200733945,-7.4900271309306845,-4.599631984718143,1,Done,tetracene_theta=0.0_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,10.0,-31.45297238463536,-7.388019105535933,-4.169233543390874,2,Done,tetracene_theta=10.0_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.0,5.0,-36.67971150786616,-0.6972075356170535,-8.821324109158011,2,Done,tetracene_theta=5.0_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,10.0,-38.28862706758082,-0.6265612049028277,-9.258876164443793,2,Done,tetracene_theta=10.0_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,0.0,-36.2898972760886,-0.6748066835571079,-8.735070977243595,1,Done,tetracene_theta=0.0_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,5.0,-35.24516591709107,-8.193050429574214,-4.714766264485662,1,Done,tetracene_theta=5.0_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,0.0,-34.62426485237665,-7.950915655703285,-4.680608385242522,1,Done,tetracene_theta=0.0_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.0,10.0,-34.75771865900606,-8.483607639791444,-4.447625844855793,2,Done,tetracene_theta=10.0_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.0,5.0,-36.852311898488544,-0.6284462449839339,-8.898854852130173,2,Done,tetracene_theta=5.0_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.8,10.0,-38.38882284448482,-0.6914143633330241,-9.251498529454693,2,Done,tetracene_theta=10.0_a=6.5_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,0.0,-36.24614476901479,-0.6078149712411687,-8.757628706633112,1,Done,tetracene_theta=0.0_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,5.0,-34.72187026799657,-8.193050429574214,-4.583942352212034,1,Done,tetracene_theta=5.0_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,10.0,-34.27613234450109,-8.483607639791444,-4.327229266229551,2,Done,tetracene_theta=10.0_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.0,5.0,-36.70920196757653,-0.5666854557348415,-8.893957764026709,2,Done,tetracene_theta=5.0_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.8,10.0,-38.47838609176688,-0.6265612049028277,-9.306315920490306,2,Done,tetracene_theta=10.0_a=6.6_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,0.0,-34.89378541777842,-7.976145322783848,-4.7353736930526775,1,Done,tetracene_theta=0.0_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.1,5.0,-36.559661314589896,-0.5666854557348415,-8.856572600780055,2,Done,tetracene_theta=5.0_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,5.0,-34.159909962443635,-8.193050429574214,-4.443452275823802,1,Done,tetracene_theta=5.0_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.1,0.0,-35.88729940983467,-0.754908335278742,-8.594370684819296,1,Done,tetracene_theta=0.0_a=6.3_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.8,10.0,-38.24643831467256,-0.5667406765278429,-9.278239240404217,2,Done,tetracene_theta=10.0_a=6.7_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,10.0,-33.74938037060201,-8.483607639791444,-4.195541272754781,2,Done,tetracene_theta=10.0_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.0,0.0,-34.38384569133632,-7.976145322783848,-4.607888761442156,1,Done,tetracene_theta=0.0_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.2,5.0,-36.39632548182272,-0.5666854557348415,-8.815738642588258,2,Done,tetracene_theta=5.0_a=6.6_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.9,10.0,-37.99519837112165,-0.5667406765278429,-9.215429254516494,2,Done,tetracene_theta=10.0_a=6.7_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,5.0,-35.4371061658021,-8.191667397506535,-4.763442842697258,1,Done,tetracene_theta=5.0_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,12.9,10.0,-32.665156042436145,-7.388019105535933,-4.4722794578410685,2,Done,tetracene_theta=10.0_a=3.5_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,0.0,-36.270253702998154,-0.6748066835571079,-8.730160083970986,1,Done,tetracene_theta=0.0_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,6.9,5.0,-36.6400528755039,-0.6972075356170535,-8.811409451067448,2,Done,tetracene_theta=5.0_a=6.4_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
