a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
6.0,7.2,64.0,0,1,-57.78250634158029,-7.537942539667711,-10.67665531556122,2,Done,tetracene_A1=0_A2=1_a=6.0_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.9,65.0,0,20,-52.33367134910077,-7.591506793163718,-9.287664440693334,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.9_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.5,65.0,0,30,-54.4440627808217,-7.591727676917799,-9.815151856746523,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.5_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.2,65.0,0,25,-53.116786259459325,-7.5913009699434015,-9.48354607989313,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.2_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.3,64.5,0,10,-54.01607586024329,-7.539202579762787,-9.734417675179431,2,Done,tetracene_A1=0_A2=10_a=6.0_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.5,64.5,0,15,-51.9634053085465,-7.539185009431094,-9.22125882242108,2,Done,tetracene_A1=0_A2=15_a=6.0_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.5,0,1,-57.949080126592904,-7.538911415147594,-10.717814324074423,2,Done,tetracene_A1=0_A2=1_a=6.0_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.7,64.0,0,20,-50.49401534255593,-7.537700320710428,-8.854653675283771,1,Done,tetracene_A1=0_A2=20_a=6.0_b=7.7_theta=64.0_cx=0_cy=0_cz=0.log
6.0,8.3,64.0,0,30,-53.858967436710365,-7.5382236641598865,-9.695630027097652,1,Done,tetracene_A1=0_A2=30_a=6.0_b=8.3_theta=64.0_cx=0_cy=0_cz=0.log
6.0,8.0,64.0,0,25,-51.91920852405019,-7.538099416997284,-9.210752422513906,1,Done,tetracene_A1=0_A2=25_a=6.0_b=8.0_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.3,65.0,0,10,-54.29708989802748,-7.5135286354925475,-9.817508156760596,2,Done,tetracene_A1=0_A2=10_a=6.0_b=7.3_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.5,65.0,0,15,-52.28576974594034,-7.513601426733657,-9.314641723118257,2,Done,tetracene_A1=0_A2=15_a=6.0_b=7.5_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.2,65.0,0,1,-58.01615843549371,-7.513280141516589,-10.747399538115133,2,Done,tetracene_A1=0_A2=1_a=6.0_b=7.2_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.7,64.5,0,20,-50.95567696052603,-7.538760812836699,-8.969538833713159,1,Done,tetracene_A1=0_A2=20_a=6.0_b=7.7_theta=64.5_cx=0_cy=0_cz=0.log
6.0,8.3,64.5,0,30,-54.134712900966406,-7.539246505475602,-9.7640549725038,1,Done,tetracene_A1=0_A2=30_a=6.0_b=8.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.4,64.0,0,10,-54.368181761121384,-7.5382023288402715,-9.822944275860207,2,Done,tetracene_A1=0_A2=10_a=6.0_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.6,64.0,0,15,-52.40630688657985,-7.538094397052191,-9.332529523118863,2,Done,tetracene_A1=0_A2=15_a=6.0_b=7.6_theta=64.0_cx=0_cy=0_cz=0.log
6.0,8.0,64.5,0,25,-52.277351071825244,-7.539067037519999,-9.299804249196312,1,Done,tetracene_A1=0_A2=25_a=6.0_b=8.0_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.0,0,1,-57.84504398843274,-7.5379425396677116,-10.692289727274328,2,Done,tetracene_A1=0_A2=1_a=6.0_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.7,65.0,0,20,-51.31963024917059,-7.513175974949262,-9.073319574818015,1,Done,tetracene_A1=0_A2=20_a=6.0_b=7.7_theta=65.0_cx=0_cy=0_cz=0.log
6.0,8.3,65.0,0,30,-54.315202346537255,-7.51363154721912,-9.821984813024756,1,Done,tetracene_A1=0_A2=30_a=6.0_b=8.3_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.4,64.5,0,10,-54.623615982243784,-7.539202579762787,-9.886302705679554,2,Done,tetracene_A1=0_A2=10_a=6.0_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.6,64.5,0,15,-52.698631165549145,-7.539185009431094,-9.405065286671745,2,Done,tetracene_A1=0_A2=15_a=6.0_b=7.6_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.5,0,1,-57.90549328224734,-7.538911415147594,-10.706917612988036,2,Done,tetracene_A1=0_A2=1_a=6.0_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
6.0,8.0,65.0,0,25,-52.53995647677221,-7.513355442904867,-9.378311397740617,1,Done,tetracene_A1=0_A2=25_a=6.0_b=8.0_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.8,64.0,0,20,-51.50432652258314,-7.537700320710428,-9.107231470290573,1,Done,tetracene_A1=0_A2=20_a=6.0_b=7.8_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.4,65.0,0,10,-54.78187651373447,-7.5135286354925475,-9.938704810687339,2,Done,tetracene_A1=0_A2=10_a=6.0_b=7.4_theta=65.0_cx=0_cy=0_cz=0.log
6.0,7.6,65.0,0,15,-52.89631689572708,-7.513601426733657,-9.467278510564938,2,Done,tetracene_A1=0_A2=15_a=6.0_b=7.6_theta=65.0_cx=0_cy=0_cz=0.log
6.0,8.4,64.0,0,30,-54.20482082827946,-7.5382236641598865,-9.782093374989929,1,Done,tetracene_A1=0_A2=30_a=6.0_b=8.4_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.3,65.0,0,1,-57.87220011116006,-7.513280141516589,-10.711409957031721,2,Done,tetracene_A1=0_A2=1_a=6.0_b=7.3_theta=65.0_cx=0_cy=0_cz=0.log
6.0,8.1,64.0,0,25,-52.58970295847394,-7.538099416997284,-9.378376031119842,1,Done,tetracene_A1=0_A2=25_a=6.0_b=8.1_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.8,64.5,0,20,-51.83386716479436,-7.538760812836699,-9.18908638478024,1,Done,tetracene_A1=0_A2=20_a=6.0_b=7.8_theta=64.5_cx=0_cy=0_cz=0.log
