a,b,a_step1,b_step1,theta,A1,A2,R3t,R3p,E,E_p,E_t1,E_t2
8.18413098624405,6.041522986797286,7.3,5.9,25.5,-26.87813975209865,-13.959649556813906,-2.5,-1.3,-53.63576212944463,-7.945575545774773,-9.808290034881791,-9.064015484065749
8.229823813423955,6.020797289396148,7.3,5.9,25.5,-27.49913873104715,-12.984989651871913,-2.5,-1.2,-53.65042954823002,-7.971550694666803,-9.808290034881791,-9.045374044566415
8.276472678623424,6.001666435249463,7.3,5.9,25.5,-28.113208876055957,-11.993393612788896,-2.5,-1.1,-53.714888630318455,-7.9828220292693,-9.808290034881791,-9.066332251008134
8.324061508662703,5.984145720150872,7.3,5.9,25.5,-28.72032679786948,-10.984916770208365,-2.5,-1.0,-53.82362858322449,-7.980108676012605,-9.808290034881791,-9.123415580717849
8.372574275573792,5.96824932455071,7.3,5.9,25.5,-29.320475877580744,-9.959640740335137,-2.5,-0.9,-53.96878796152305,-7.964630514383316,-9.808290034881791,-9.211473431496415
8.421995013059554,5.953990258641679,7.3,5.9,25.5,-29.91364599153488,-8.917671636531402,-2.5,-0.8,-54.137166464701295,-7.937685234937817,-9.808290034881791,-9.322607962531038
8.472307831990053,5.9413803110051795,7.3,5.9,25.5,-30.49983323344744,-7.859138059079824,-2.5,-0.7,-54.314086634200066,-7.901284634950571,-9.808290034881791,-9.44746864726767
8.523496934944014,5.930430001273095,7.3,5.9,25.5,-31.07903963507926,-6.7841888687859875,-2.5,-0.6,-54.482742497115396,-7.858383031212725,-9.808290034881791,-9.57469818246318
8.575546629807338,5.921148537234985,7.3,5.9,25.5,-31.651272886712622,-5.692990751419984,-2.5,-0.5,-54.62746763811447,-7.812618726864457,-9.808290034881791,-9.692825057310984
8.628441342444184,5.913543776789007,7.3,5.9,25.5,-32.21654605857564,-4.585725581105238,-2.5,-0.4,-54.733761556912214,-7.767754271742888,-9.808290034881791,-9.790836471831426
8.682165628459295,5.907622195096772,7.3,5.9,25.5,-32.77487732426425,-3.4625875916024222,-2.5,-0.3,-54.78881677438039,-7.727651362773031,-9.808290034881791,-9.858466989535373
8.736704184073076,5.903388857258177,7.3,5.9,25.5,-33.326289687115214,-2.3237803649577766,-2.5,-0.2,-54.783154124277644,-7.696002268465236,-9.808290034881791,-9.887284758791791
8.792041856133308,5.900847396772772,7.3,5.9,25.5,-33.87081071038882,-1.1695136471372691,-2.5,-0.1,-54.710898857796565,-7.675728675443679,-9.808290034881791,-9.87143071857281
8.848163651289457,5.9,7.3,5.9,25.5,-34.40847225202863,0.0,-2.5,0.0,-54.57064409763552,-7.668741979054175,-9.808290034881791,-9.808290034881791
8.905054744357274,5.900847396772772,7.3,5.9,25.5,-34.93931020467703,1.184548701776547,-2.5,0.1,-54.36514210293535,-7.675728675443679,-9.808290034881791,-9.698552341142204
8.962700485902673,5.903388857258177,7.3,5.9,25.5,-35.46336424154059,2.383924921473369,-2.5,0.2,-54.100966668105684,-7.696002268465236,-9.808290034881791,-9.546191030705812
9.021086409075128,5.907622195096772,7.3,5.9,25.5,-35.98067756861832,3.5979292533116336,-2.5,0.3,-53.78788310335949,-7.727651362773031,-9.808290034881791,-9.35800015402492
9.08019823572151,5.913543776789007,7.3,5.9,25.5,-36.49129668372969,4.8263743546331765,-2.5,0.4,-53.43811530445237,-7.767754271742888,-9.808290034881791,-9.143013345601505
9.140021881811881,5.921148537234985,7.3,5.9,25.5,-36.99527114270714,6.0690890174753855,-2.5,0.5,-53.06507566967048,-7.812618726864457,-9.808290034881791,-8.911629073088989
9.200543462209176,5.930430001273095,7.3,5.9,25.5,-37.492653333050335,7.325922383726324,-2.5,0.6,-52.682064901455306,-7.858383031212725,-9.808290034881791,-8.674359384633135
9.261749294814669,5.9413803110051795,7.3,5.9,25.5,-37.98349825527709,8.59674831291948,-2.5,0.7,-52.30194318899885,-7.901284634950571,-9.808290034881791,-8.44139692466706
9.323625904121208,5.953990258641679,7.3,5.9,25.5,-38.46786331214755,9.881469917601333,-2.5,0.8,-51.93580365402158,-7.937685234937817,-9.808290034881791,-8.221926557191182
9.386160024205852,5.96824932455071,7.3,5.9,25.5,-38.94580810588517,11.180024288227353,-2.5,0.9,-51.593043886707164,-7.964630514383316,-9.808290034881791,-8.023601394088473
9.449338601193206,5.984145720150872,7.3,5.9,25.5,-39.417394243468934,12.492387437904712,-2.5,1.0,-51.28180394694209,-7.980108676012605,-9.808290034881791,-7.852503262576647
9.513148795220223,6.001666435249463,7.3,5.9,25.5,-39.88268515002737,13.818579507252318,-2.5,1.1,-51.00730095244944,-7.9828220292693,-9.808290034881791,-7.712538412073627
