a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
6.0,7.2,64.5,0,2,-42.71347367181443,-5.501535792485812,-7.927600521710701,2,Done,anthracene_A1=0_A2=2_a=6.0_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.5,0,1,-42.82511272071861,-5.501534537412226,-7.955510911473539,2,Done,anthracene_A1=0_A2=1_a=6.0_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.0,0,4,-42.12628997419961,-5.499702208209783,-7.7817213894450115,1,Done,anthracene_A1=0_A2=4_a=6.0_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.3,63.5,0,3,-42.40588082023896,-5.482064157142304,-7.860438126488589,2,Done,anthracene_A1=0_A2=3_a=6.0_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.0,0,10,-39.65197286428885,-5.499849045649171,-7.163068693247624,1,Done,anthracene_A1=0_A2=10_a=6.0_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.3,63.5,0,2,-42.57155099022202,-5.482061647111549,-7.9018569239997305,2,Done,anthracene_A1=0_A2=2_a=6.0_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.0,0,5,-41.76501238718629,-5.499718523584306,-7.691393835004419,1,Done,anthracene_A1=0_A2=5_a=6.0_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
6.0,7.3,63.5,0,1,-42.67640038137324,-5.482055372092873,-7.928072409296874,2,Done,anthracene_A1=0_A2=1_a=6.0_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
6.0,7.2,64.5,0,4,-42.268747294321656,-5.501563402824104,-7.816405122168362,1,Done,anthracene_A1=0_A2=4_a=6.0_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
6.0,7.3,64.0,0,3,-42.51139788120054,-5.49968463787809,-7.878007151361087,2,Done,anthracene_A1=0_A2=3_a=6.0_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
